 rank  , aId , aValue  , iId , iValue  , oId , oValue
    1  ,  DE , 609063  ,  DE , 287693  ,  DE , 364594 
    2  ,  FR , 609063  ,  FR , 287693  ,  FR , 364594 
    3  ,  IT , 609063  ,  IT , 287693  ,  IT , 364594 
    4  ,  ES , 609063  ,  ES , 287693  ,  ES , 364594 
    5  ,  PL , 452314  ,  GB , 274340  ,  PL , 294156 
    6  ,  GB , 439822  ,  PT , 229822  ,  TR , 248328 
    7  ,  PT , 400014  ,  PL , 229822  ,  RO , 207249 
    8  ,  RO , 379701  ,  IE , 200266  ,  rW , 198970 
    9  ,  TR , 379701  ,  RO , 176038  ,  PT , 191225 
   10  ,  GR , 353090  ,  CZ , 176038  ,  NL , 191225 
   11  ,  NL , 353090  ,  GR , 176038  ,  GB , 191225 
   12  ,  rW , 339887  ,  NL , 176038  ,  GR , 174407 
   13  ,  BE , 336319  ,  BE , 176038  ,  HU , 159516 
   14  ,  CZ , 330134  ,  TR , 176038  ,  CZ , 159516 
   15  ,  IE , 314423  ,  rW , 175804  ,  BE , 159516 
   16  ,  HU , 314423  ,  AT , 175804  ,  BG , 141731 
   17  ,  AT , 314423  ,  FI , 175804  ,  AT , 141526 
   18  ,  FI , 314423  ,  SE , 175804  ,  SK , 136878 
   19  ,  SE , 295197  ,  HU , 159244  ,  LT , 136878 
   20  ,  BG , 233448  ,  MT , 143246  ,  FI , 136050 
   21  ,  LT , 233448  ,  DK , 125031  ,  SE , 120105 
   22  ,  SK , 229052  ,  NO , 125031  ,  DK , 100006 
   23  ,  DK , 221538  ,  BG , 103421  ,  HR ,  98028 
   24  ,  NO , 211331  ,  LT , 103421  ,  LV ,  96748 
   25  ,  HR , 195283  ,  HR , 103421  ,  SI ,  88877 
   26  ,  SI , 179996  ,  SK ,  99455  ,  NO ,  86535 
   27  ,  MT , 176232  ,  SI ,  99187  ,  EE ,  80157 
   28  ,  LV , 176232  ,  LV ,  81938  ,  IE ,  80157 
   29  ,  EE , 150575  ,  CY ,  81600  ,  MK ,  50478 
   30  ,  CY , 118367  ,  EE ,  76830  ,  CY ,  40446 
   31  ,  MK ,  80685  ,  IS ,  42888  ,  RS ,  40232 
   32  ,  RS ,  64736  ,  MK ,  33208  ,  MT ,  24158 
   33  ,  IS ,  62144  ,  LU ,  28600  ,  IS ,  21770 
   34  ,  LU ,  40258  ,  RS ,  27942  ,  LU ,  13761 
   35  ,  LI ,   4358  ,  LI ,   2216  ,  LI ,   2412 
